Label,Element Type,Description,Tags,Influence,Image,Born,Died,Website,Blog
Donald Knuth,Person,"《[计算机程序设计艺术](https://en.wikipedia.org/wiki/The_Art_of_Computer_Programming)》作者,排版系统 [TeX](https://en.wikipedia.org/wiki/TeX) 的创造者,算法分析奠基人,1974 年图灵奖得主。",TeX,9.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Donald_Ervin_Knuth_%28cropped%29.jpg/500px-Donald_Ervin_Knuth_%28cropped%29.jpg,1938,,,
Leslie Lamport,Person,"分布式系统理论奠基人,提出 [Paxos](https://en.wikipedia.org/wiki/Paxos_%28computer_science%29)、[Lamport 时钟](https://en.wikipedia.org/wiki/Lamport_timestamp) 与 [拜占庭容错](https://en.wikipedia.org/wiki/Byzantine_fault);[LaTeX](https://en.wikipedia.org/wiki/LaTeX) 作者,2013 年图灵奖得主。",Paxos|Byzantine fault tolerance|Lamport timestamp|LaTeX,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/50/Leslie_Lamport.jpg/500px-Leslie_Lamport.jpg,1941,,,
Edsger Dijkstra,Person,"提出 [Dijkstra 最短路径算法](https://en.wikipedia.org/wiki/Dijkstra%27s_algorithm),结构化编程与并发理论先驱,1972 年图灵奖得主。",Dijkstra's algorithm,9.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Edsger_Wybe_Dijkstra.jpg/500px-Edsger_Wybe_Dijkstra.jpg,1930,2002,,
Vint Cerf,Person,"“互联网之父”之一,[TCP/IP](https://en.wikipedia.org/wiki/Internet_protocol_suite) 协议的共同设计者,2004 年图灵奖得主。",TCP/IP,9.4,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Dr_Vint_Cerf_ForMemRS_%28cropped%29.jpg/500px-Dr_Vint_Cerf_ForMemRS_%28cropped%29.jpg,1943,,,
Tim Berners-Lee (TimBL/TBL),Person,"[万维网](https://en.wikipedia.org/wiki/World_Wide_Web) 的发明者,创造了 [HTML](https://en.wikipedia.org/wiki/HTML)、URL 与 HTTP,2016 年图灵奖得主。",HTML|WWW,9.6,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Tim_Berners-Lee_at_the_2025_Web_Summit_%28Cropped%29.jpg/500px-Tim_Berners-Lee_at_the_2025_Web_Summit_%28Cropped%29.jpg,1955,,https://github.com/timbl,
Alan Kay,Person,"[面向对象编程](https://en.wikipedia.org/wiki/Object-oriented_programming) 与图形界面先驱,Smalltalk 与 Dynabook 概念的提出者,2003 年图灵奖得主。",OOP,8.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Alan_Kay_and_the_prototype_of_the_Dynabook_%283009206205%29.jpg/500px-Alan_Kay_and_the_prototype_of_the_Dynabook_%283009206205%29.jpg,1940,,,
John Backus,Person,"[Fortran](https://en.wikipedia.org/wiki/Fortran) 的领导者(首个高级编程语言之一),并提出描述语法的 [巴科斯范式 BNF](https://en.wikipedia.org/wiki/Backus%E2%80%93Naur_form),1977 年图灵奖得主。",,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/b/b2/John_Backus_2.jpg,,,,
Barbara Liskov,Person,"提出 [里氏替换原则](https://en.wikipedia.org/wiki/Liskov_substitution_principle) 与抽象数据类型,分布式与编程语言理论先驱,2008 年图灵奖得主。",,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/3/38/Barbara_Liskov_MIT_computer_scientist_2010.jpg/500px-Barbara_Liskov_MIT_computer_scientist_2010.jpg,,,,
Salvatore Sanfilippo (antirez),Person,内存数据库 [Redis](https://en.wikipedia.org/wiki/Redis) 的创造者。,Redis,7.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Salvatore_Sanfilippo.png/500px-Salvatore_Sanfilippo.png,1977,,https://github.com/antirez,https://antirez.com/
Stephen Cole Kleene,Person,"数理逻辑学家,[正则表达式](https://en.wikipedia.org/wiki/Regular_expression) 的理论基础(Kleene 星号)与可计算性理论奠基人之一。",regex,7.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Stephen_Cole_Kleene_circa_1963.tif/lossy-page1-500px-Stephen_Cole_Kleene_circa_1963.tif.jpg,1909,1994,,
Lee E. McMahon,Person,"贝尔实验室研究员,Unix 流编辑器 [sed](https://en.wikipedia.org/wiki/Sed) 的作者。",sed,5.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/4/44/Bell_telephone_magazine_%281922%29_%2814756062432%29.jpg/500px-Bell_telephone_magazine_%281922%29_%2814756062432%29.jpg,1931,1989,,
Bram Moolenaar,Person,广受欢迎的文本编辑器 [Vim](https://en.wikipedia.org/wiki/Vim_%28text_editor%29) 的作者。,Vim,6.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bram_Moolenaar_in_2007.jpg/500px-Bram_Moolenaar_in_2007.jpg,1961,2023,,
Igor Sysoev,Person,高性能 Web 服务器 [Nginx](https://en.wikipedia.org/wiki/Nginx) 的作者。,Nginx,7.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Igor_Sysoev_1.jpg/500px-Igor_Sysoev_1.jpg,1970,,,
AWK,Project,"[AWK](https://en.wikipedia.org/wiki/AWK) —— 由 Aho、Weinberger、Kernighan 创造的文本处理语言,擅长按行/字段处理数据。",,7.0,https://placehold.co/300x300/1e1e1e/ffffff/png?text=AWK,,,https://awk.dev,
B,Project,"[B 语言](https://en.wikipedia.org/wiki/B_%28programming_language%29) —— Thompson 设计的早期语言,[C](https://en.wikipedia.org/wiki/C_%28programming_language%29) 的直接前身。",,6.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=B,,,,
Brave,Project,"[Brave](https://en.wikipedia.org/wiki/Brave_%28web_browser%29) —— 注重隐私、默认拦截广告与追踪的浏览器,由 Brendan Eich 创立。",,5.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/6/68/Brave_logo.svg/500px-Brave_logo.svg.png,,,https://brave.com,
Byzantine fault tolerance,Project,[拜占庭容错](https://en.wikipedia.org/wiki/Byzantine_fault) —— 分布式系统在部分节点任意作恶时仍能正确达成共识的能力。,,7.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Byzantine%0Afault%0Atolerance,,,,
C,Project,"[C 语言](https://en.wikipedia.org/wiki/C_%28programming_language%29) —— Ritchie 创造的系统编程语言,影响了几乎所有现代语言,至今仍是底层开发的基石。",,9.9,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/1/19/C_Logo.png/500px-C_Logo.png,,,,
C++,Project,"[C++](https://en.wikipedia.org/wiki/C%2B%2B) —— Stroustrup 在 C 之上加入面向对象与泛型,广泛用于高性能与系统软件。",,9.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/1/18/ISO_C%2B%2B_Logo.svg/500px-ISO_C%2B%2B_Logo.svg.png,,,https://isocpp.org,
Dijkstra's algorithm,Project,[Dijkstra 算法](https://en.wikipedia.org/wiki/Dijkstra%27s_algorithm) —— 求图中单源最短路径的经典算法。,,8.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Dijkstra%27s%0Aalgorithm,,,,
Emacs,Project,"[Emacs](https://en.wikipedia.org/wiki/GNU_Emacs) —— 高度可扩展的文本编辑器,以 Lisp 为扩展语言,GNU 工程的旗舰之一。",,7.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/0/08/EmacsIcon.svg/500px-EmacsIcon.svg.png,,,https://www.gnu.org/software/emacs/,
Free software movement,Project,"[自由软件运动](https://en.wikipedia.org/wiki/Free_software_movement) —— Stallman 发起,主张用户运行、研究、修改、分发软件的自由。",,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Free%0Asoftware%0Amovement,,,,
GNU,Project,"[GNU](https://en.wikipedia.org/wiki/GNU) —— “GNU's Not Unix”,自由的类 Unix 操作系统工程,提供了大量核心工具。",,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/2/22/Heckert_GNU_white.svg/500px-Heckert_GNU_white.svg.png,,,https://www.gnu.org,
GPL,Project,"[GPL](https://en.wikipedia.org/wiki/GNU_General_Public_License) —— GNU 通用公共许可证,著名的 [Copyleft](https://en.wikipedia.org/wiki/Copyleft) 自由软件许可证。",,8.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/9/93/GPLv3_Logo.svg/500px-GPLv3_Logo.svg.png,,,,
Git,Project,"[Git](https://en.wikipedia.org/wiki/Git) —— Torvalds 为 Linux 开发创建的分布式版本控制系统,现已成为业界标准。",,9.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Git-logo.svg/500px-Git-logo.svg.png,,,https://git-scm.com,
Go,Project,"[Go](https://en.wikipedia.org/wiki/Go_%28programming_language%29) —— Google 出品(Thompson、Pike 等),强调简洁与并发的编译型语言。",,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/0/05/Go_Logo_Blue.svg/500px-Go_Logo_Blue.svg.png,,,https://go.dev,
HTML,Project,"[HTML](https://en.wikipedia.org/wiki/HTML) —— 万维网的超文本标记语言,由 Tim Berners-Lee 提出。",,9.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/6/61/HTML5_logo_and_wordmark.svg/500px-HTML5_logo_and_wordmark.svg.png,,,https://html.spec.whatwg.org,
Java,Project,"[Java](https://en.wikipedia.org/wiki/Java_%28programming_language%29) —— 跨平台、运行于 JVM 的面向对象语言,企业级应用广泛。",,9.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/en/thumb/3/30/Java_programming_language_logo.svg/500px-Java_programming_language_logo.svg.png,,,https://www.java.com,
JavaScript,Project,"[JavaScript](https://en.wikipedia.org/wiki/JavaScript) —— 网页的脚本语言,如今前后端通吃,生态庞大。",,9.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/6/6a/JavaScript-logo.png/500px-JavaScript-logo.png,,,,
Lamport timestamp,Project,[Lamport 时钟](https://en.wikipedia.org/wiki/Lamport_timestamp) —— 为分布式事件确定先后顺序的逻辑时钟算法。,,7.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Lamport%0Atimestamp,,,,
LaTeX,Project,"[LaTeX](https://en.wikipedia.org/wiki/LaTeX) —— 基于 TeX 的排版系统,学术论文与数学公式排版的事实标准。",,8.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/9/92/LaTeX_logo.svg/500px-LaTeX_logo.svg.png,,,https://www.latex-project.org,
Linux,Project,"[Linux](https://en.wikipedia.org/wiki/Linux) —— Torvalds 创建的开源类 Unix 内核,支撑了从服务器到 Android 的庞大生态。",,9.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/af/Tux.png/500px-Tux.png,,,https://www.kernel.org,
Macros,Project,[宏](https://en.wikipedia.org/wiki/Macro_%28computer_science%29) —— 在编译/处理前进行文本或语法替换的机制。,,5.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Macros,,,,
Mozilla,Project,"[Mozilla](https://en.wikipedia.org/wiki/Mozilla) —— 开源社区与基金会,Firefox 浏览器的缔造者。",,7.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Mozilla_logo_%282017%E2%80%932024%29.svg/500px-Mozilla_logo_%282017%E2%80%932024%29.svg.png,,,https://www.mozilla.org,
Multics,Project,"[Multics](https://en.wikipedia.org/wiki/Multics) —— 开创性的分时操作系统,直接启发了 Unix 的诞生。",,6.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Multics,,,https://www.multicians.org,
Nginx,Project,"[Nginx](https://en.wikipedia.org/wiki/Nginx) —— 高并发的 Web 服务器与反向代理,由 Igor Sysoev 编写。",,8.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Nginx_logo.svg/500px-Nginx_logo.svg.png,,,https://nginx.org,
OOP,Project,[面向对象编程](https://en.wikipedia.org/wiki/Object-oriented_programming) —— 以对象、封装、继承、多态组织程序的范式。,,9.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=OOP,,,,
Paxos,Project,[Paxos](https://en.wikipedia.org/wiki/Paxos_%28computer_science%29) —— Lamport 提出的分布式一致性算法。,,7.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Paxos,,,,
Plan9,Project,"[Plan 9](https://en.wikipedia.org/wiki/Plan_9_from_Bell_Labs) —— 贝尔实验室的研究型操作系统,将“一切皆文件”推向极致。",,6.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Plan9,,,https://9p.io/plan9/,
Python,Project,"[Python](https://en.wikipedia.org/wiki/Python_%28programming_language%29) —— 简洁易读的通用语言,在数据科学、AI、Web 等领域极为流行。",,9.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/500px-Python-logo-notext.svg.png,,,https://www.python.org,
Redis,Project,"[Redis](https://en.wikipedia.org/wiki/Redis) —— 高性能内存键值数据库,常用于缓存与消息队列。",,7.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Redis_logo.svg/500px-Redis_logo.svg.png,,,https://redis.io,
TCP/IP,Project,"[TCP/IP](https://en.wikipedia.org/wiki/Internet_protocol_suite) —— 互联网的核心协议族,由 Cerf 与 Kahn 设计。",,9.7,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=TCP%2FIP,,,,
TeX,Project,"[TeX](https://en.wikipedia.org/wiki/TeX) —— Knuth 创造的高质量排版系统,尤擅数学公式。",,8.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/6/68/TeX_logo.svg/500px-TeX_logo.svg.png,,,https://tug.org,
UTF-8,Project,"[UTF-8](https://en.wikipedia.org/wiki/UTF-8) —— 兼容 ASCII 的 Unicode 变长编码,由 Thompson 与 Pike 设计,已成 Web 主流编码。",,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Unicode_logo.svg/500px-Unicode_logo.svg.png,,,,
Unix,Project,"[Unix](https://en.wikipedia.org/wiki/Unix) —— Thompson 与 Ritchie 在贝尔实验室创造的操作系统,其设计哲学影响至今。",,9.8,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Unix,,,https://unix.org,
Unix Manual,Project,"[Unix 手册](https://en.wikipedia.org/wiki/Man_page) —— Unix 的联机手册(man page)传统,简洁的命令文档范式。",,5.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Unix%0AManual,,,,
Unix Pipelines,Project,"[Unix 管道](https://en.wikipedia.org/wiki/Pipeline_%28Unix%29) —— 用 | 将程序串联,小工具组合完成复杂任务,McIlroy 提出。",,7.8,https://placehold.co/300x300/1e1e1e/ffffff/png?text=Unix%0APipelines,,,,
Vim,Project,[Vim](https://en.wikipedia.org/wiki/Vim_%28text_editor%29) —— 在 vi 基础上扩展的强大模式化编辑器。,,8.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Vimlogo.svg/500px-Vimlogo.svg.png,,,https://www.vim.org,
WWW,Project,"[万维网](https://en.wikipedia.org/wiki/World_Wide_Web) —— 基于超链接的全球信息系统,由 Tim Berners-Lee 发明。",,9.6,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=WWW,,,,
diff,Project,"[diff](https://en.wikipedia.org/wiki/Diff) —— 比较文件差异的 Unix 工具,版本控制的基础。",,6.5,https://placehold.co/300x300/1e1e1e/ffffff/png?text=diff,,,,
echo,Project,[echo](https://en.wikipedia.org/wiki/Echo_%28command%29) —— 输出文本的基础 Unix 命令。,,4.0,https://placehold.co/300x300/1e1e1e/ffffff/png?text=echo,,,,
ed,Project,"[ed](https://en.wikipedia.org/wiki/Ed_%28text_editor%29) —— Unix 最早的行编辑器,Thompson 编写。",,5.0,https://placehold.co/300x300/1e1e1e/ffffff/png?text=ed,,,,
grep,Project,"[grep](https://en.wikipedia.org/wiki/Grep) —— 用正则表达式搜索文本的经典 Unix 工具,Thompson 编写。",,7.5,https://placehold.co/300x300/1e1e1e/ffffff/png?text=grep,,,,
join,Project,[join](https://en.wikipedia.org/wiki/Join_%28Unix%29) —— 按公共字段连接两个文件的 Unix 工具。,,4.5,https://placehold.co/300x300/1e1e1e/ffffff/png?text=join,,,,
regex,Project,"[正则表达式](https://en.wikipedia.org/wiki/Regular_expression) —— 描述文本匹配模式的形式语言,理论源自 Kleene。",,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=regex,,,,
sed,Project,"[sed](https://en.wikipedia.org/wiki/Sed) —— Unix 流式文本编辑器,McMahon 编写。",,7.0,https://placehold.co/300x300/1e1e1e/ffffff/png?text=sed,,,,
sort,Project,[sort](https://en.wikipedia.org/wiki/Sort_%28Unix%29) —— 对文本行排序的 Unix 工具。,,5.5,https://placehold.co/300x300/1e1e1e/ffffff/png?text=sort,,,,
tr,Project,[tr](https://en.wikipedia.org/wiki/Tr_%28Unix%29) —— 字符转换/删除的 Unix 工具。,,4.5,https://placehold.co/300x300/1e1e1e/ffffff/png?text=tr,,,,
Alan Turing,Person,"[图灵机](https://en.wikipedia.org/wiki/Turing_machine) 提出者,计算理论与人工智能奠基人,二战破译 Enigma 密码,计算机科学之父。",Turing machine,9.9,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Alan_turing_header.jpg/500px-Alan_turing_header.jpg,1912,1954,,
John von Neumann,Person,"[冯·诺依曼体系结构](https://en.wikipedia.org/wiki/Von_Neumann_architecture) 的提出者,现代计算机设计的基石;在数学、物理、博弈论等领域均有开创性贡献。",von Neumann architecture,9.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/5/5e/JohnvonNeumann-LosAlamos.gif,1903,1957,,
Claude Shannon,Person,"[信息论](https://en.wikipedia.org/wiki/Information_theory) 的创立者,提出“比特”概念,奠定了现代通信与数据压缩的理论基础。",Information theory,9.6,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/c/c1/C.E._Shannon._Tekniska_museet_43069_%282x3_crop%29.jpg/500px-C.E._Shannon._Tekniska_museet_43069_%282x3_crop%29.jpg,1916,2001,,
John McCarthy,Person,"[Lisp](https://en.wikipedia.org/wiki/Lisp_%28programming_language%29) 的发明者,提出“[人工智能](https://en.wikipedia.org/wiki/Artificial_intelligence)”一词,1971 年图灵奖得主。",Lisp,9.2,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/7/79/MCCARTHY.png/500px-MCCARTHY.png,1927,2011,,
Grace Hopper,Person,"早期编译器先驱,[COBOL](https://en.wikipedia.org/wiki/COBOL) 的推动者,“debug”一词的传播者。",COBOL,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/9/98/Commodore_Grace_M._Hopper%2C_USN_%28covered%29_head_and_shoulders_crop.jpg/500px-Commodore_Grace_M._Hopper%2C_USN_%28covered%29_head_and_shoulders_crop.jpg,1906,1992,,
Tony Hoare,Person,"[快速排序](https://en.wikipedia.org/wiki/Quicksort) 算法的发明者,提出 [CSP](https://en.wikipedia.org/wiki/Communicating_sequential_processes) 并坦言空引用是“[十亿美元的错误](https://en.wikipedia.org/wiki/Null_pointer)”,1980 年图灵奖得主。",Quicksort|CSP,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Sir_Tony_Hoare_IMG_5125.jpg/500px-Sir_Tony_Hoare_IMG_5125.jpg,1934,,,
Niklaus Wirth,Person,"[Pascal](https://en.wikipedia.org/wiki/Pascal_%28programming_language%29) 等多种语言的设计者,结构化编程倡导者,1984 年图灵奖得主。",Pascal,8.6,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/4/49/Niklaus_Wirth%2C_UrGU.jpg/500px-Niklaus_Wirth%2C_UrGU.jpg,1934,2024,,
Bill Joy,Person,"[BSD](https://en.wikipedia.org/wiki/Berkeley_Software_Distribution) 的主要作者,编写了 [vi](https://en.wikipedia.org/wiki/Vi_%28text_editor%29) 编辑器与 csh,Sun 公司联合创始人。",vi|BSD,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/5/5c/Bill_Joy_at_World_Economic_Forum_%28Davos%29%2C_2003-01_%28cropped%29.jpg,1954,,,
Theo de Raadt,Person,"[OpenBSD](https://en.wikipedia.org/wiki/OpenBSD) 与 [OpenSSH](https://en.wikipedia.org/wiki/OpenSSH) 项目的创始人,以安全为核心的系统开发者。",OpenBSD|OpenSSH,7.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Theo_de_Raadt_2013.jpg/500px-Theo_de_Raadt_2013.jpg,1968,,,
Fabrice Bellard,Person,"极其高产的程序员,创造了 [FFmpeg](https://en.wikipedia.org/wiki/FFmpeg)、[QEMU](https://en.wikipedia.org/wiki/QEMU)、TinyCC 等,并曾创圆周率计算纪录。",FFmpeg|QEMU,8.3,https://placehold.co/300x300/5a6473/ffffff/png?text=Fabrice%0ABellard,1972,,,https://bellard.org/
D. Richard Hipp,Person,世界部署最广的嵌入式数据库 [SQLite](https://en.wikipedia.org/wiki/SQLite) 的作者。,SQLite,7.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/en/e/e7/Richard_hipp.jpeg,1961,,,
Daniel Stenberg,Person,无处不在的数据传输工具 [curl](https://en.wikipedia.org/wiki/CURL) / libcurl 的作者。,curl,7.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/59/Daniel_Stenberg_casually_green_%28cropped%29.jpg/500px-Daniel_Stenberg_casually_green_%28cropped%29.jpg,1970,,https://github.com/bagder,
Larry Wall,Person,"[Perl](https://en.wikipedia.org/wiki/Perl) 语言的创造者,语言学家出身,以“懒惰、急躁、傲慢”三美德著称。",Perl,8.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/b/b3/Larry_Wall_YAPC_2007.jpg,1954,,,
