Label,Element Type,Description,Tags,Influence,Image,Born,Died,Wikipedia
Dmitri Mendeleev,Person,[德米特里·门捷列夫](https://en.wikipedia.org/wiki/Dmitri_Mendeleev) —— 编制[元素周期表](https://en.wikipedia.org/wiki/Periodic_table)并成功预言未知元素。,化学,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/af/Dmitri_Mendeleev.jpg/500px-Dmitri_Mendeleev.jpg,1834,1907,https://en.wikipedia.org/wiki/Dmitri_Mendeleev
Antoine Lavoisier,Person,"[安托万·拉瓦锡](https://en.wikipedia.org/wiki/Antoine_Lavoisier) —— “近代化学之父”,确立[质量守恒](https://en.wikipedia.org/wiki/Conservation_of_mass)并命名氧。",化学,8.9,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/d8/David_-_Portrait_of_Monsieur_Lavoisier_%28cropped%292.jpg/500px-David_-_Portrait_of_Monsieur_Lavoisier_%28cropped%292.jpg,1743,1794,https://en.wikipedia.org/wiki/Antoine_Lavoisier
Ludwig Boltzmann,Person,"[路德维希·玻尔兹曼](https://en.wikipedia.org/wiki/Ludwig_Boltzmann) —— [统计力学](https://en.wikipedia.org/wiki/Statistical_mechanics)奠基人,从微观角度阐释[熵](https://en.wikipedia.org/wiki/Entropy)。",物理学,8.6,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Boltzmann2.jpg/500px-Boltzmann2.jpg,1844,1906,https://en.wikipedia.org/wiki/Ludwig_Boltzmann
Gottfried Wilhelm Leibniz,Person,"[戈特弗里德·莱布尼茨](https://en.wikipedia.org/wiki/Gottfried_Wilhelm_Leibniz) —— 与牛顿各自独立发明[微积分](https://en.wikipedia.org/wiki/Calculus)(现用记号源于他),并构想二进制。",数学,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Christoph_Bernhard_Francke_-_Bildnis_des_Philosophen_Leibniz_%28ca._1695%29.jpg/500px-Christoph_Bernhard_Francke_-_Bildnis_des_Philosophen_Leibniz_%28ca._1695%29.jpg,1646,1716,https://en.wikipedia.org/wiki/Gottfried_Wilhelm_Leibniz
Euclid,Person,"[欧几里得](https://en.wikipedia.org/wiki/Euclid) —— “几何之父”,著《[几何原本](https://en.wikipedia.org/wiki/Euclid%27s_Elements)》,确立公理化方法。",数学,9.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/7/73/Italian_-_Euclid_-_Google_Art_Project.jpg/500px-Italian_-_Euclid_-_Google_Art_Project.jpg,,,https://en.wikipedia.org/wiki/Euclid
Archimedes,Person,"[阿基米德](https://en.wikipedia.org/wiki/Archimedes) —— 古希腊数学物理大师,提出[浮力原理](https://en.wikipedia.org/wiki/Archimedes%27_principle)与杠杆、圆周率估算。",数学|物理学,9.4,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Domenico-Fetti_Archimedes_1620.jpg/500px-Domenico-Fetti_Archimedes_1620.jpg,,,https://en.wikipedia.org/wiki/Archimedes
Carl Friedrich Gauss,Person,"[卡尔·弗里德里希·高斯](https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss) —— “数学王子”,在[数论](https://en.wikipedia.org/wiki/Number_theory)、[正态分布](https://en.wikipedia.org/wiki/Normal_distribution)、几何与物理均有奠基性贡献。",数学,9.4,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Carl_Friedrich_Gauss_1840_by_Jensen.jpg/500px-Carl_Friedrich_Gauss_1840_by_Jensen.jpg,1777,1855,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
Leonhard Euler,Person,"[莱昂哈德·欧拉](https://en.wikipedia.org/wiki/Leonhard_Euler) —— 史上最高产的数学家之一,开创[图论](https://en.wikipedia.org/wiki/Graph_theory),贡献遍及分析、数论与力学。",数学,9.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Leonhard_Euler_-_Jakob_Emanuel_Handmann_%28Kunstmuseum_Basel%29.jpg/500px-Leonhard_Euler_-_Jakob_Emanuel_Handmann_%28Kunstmuseum_Basel%29.jpg,1707,1783,https://en.wikipedia.org/wiki/Leonhard_Euler
Bernhard Riemann,Person,"[波恩哈德·黎曼](https://en.wikipedia.org/wiki/Bernhard_Riemann) —— 提出[黎曼猜想](https://en.wikipedia.org/wiki/Riemann_hypothesis)与[黎曼几何](https://en.wikipedia.org/wiki/Riemannian_geometry),后者成为广义相对论的数学基础。",数学,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/8/82/Georg_Friedrich_Bernhard_Riemann.jpeg/500px-Georg_Friedrich_Bernhard_Riemann.jpeg,1826,1866,https://en.wikipedia.org/wiki/Bernhard_Riemann
Pierre de Fermat,Person,"[皮埃尔·德·费马](https://en.wikipedia.org/wiki/Pierre_de_Fermat) —— [数论](https://en.wikipedia.org/wiki/Number_theory)先驱,提出费马大定理,与帕斯卡共创[概率论](https://en.wikipedia.org/wiki/Probability_theory)。",数学,8.6,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/f/f3/Pierre_de_Fermat.jpg,1607,1665,https://en.wikipedia.org/wiki/Pierre_de_Fermat
Georg Cantor,Person,"[格奥尔格·康托尔](https://en.wikipedia.org/wiki/Georg_Cantor) —— 创立[集合论](https://en.wikipedia.org/wiki/Set_theory),提出无穷的不同“大小”。",数学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Georg_Cantor_%28Portr%C3%A4t%29.jpg/500px-Georg_Cantor_%28Portr%C3%A4t%29.jpg,1845,1918,https://en.wikipedia.org/wiki/Georg_Cantor
David Hilbert,Person,"[大卫·希尔伯特](https://en.wikipedia.org/wiki/David_Hilbert) —— 提出 23 个著名问题引领 20 世纪数学,[希尔伯特空间](https://en.wikipedia.org/wiki/Hilbert_space)以其命名。",数学,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/7/79/Hilbert.jpg,1862,1943,https://en.wikipedia.org/wiki/David_Hilbert
Henri Poincaré,Person,"[亨利·庞加莱](https://en.wikipedia.org/wiki/Henri_Poincar%C3%A9) —— [拓扑学](https://en.wikipedia.org/wiki/Topology)奠基人,[混沌理论](https://en.wikipedia.org/wiki/Chaos_theory)先驱,提出庞加莱猜想。",数学,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/f/f4/PSM_V82_D416_Henri_Poincare.png/500px-PSM_V82_D416_Henri_Poincare.png,1854,1912,https://en.wikipedia.org/wiki/Henri_Poincaré
Srinivasa Ramanujan,Person,"[斯里尼瓦瑟·拉马努金](https://en.wikipedia.org/wiki/Srinivasa_Ramanujan) —— 天才数学家,在[数论](https://en.wikipedia.org/wiki/Number_theory)与无穷级数上留下大量惊人公式。",数学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Srinivasa_Ramanujan-Add._MS_a94_version2_%28cropped%29.jpg/500px-Srinivasa_Ramanujan-Add._MS_a94_version2_%28cropped%29.jpg,1887,1920,https://en.wikipedia.org/wiki/Srinivasa_Ramanujan
Emmy Noether,Person,"[埃米·诺特](https://en.wikipedia.org/wiki/Emmy_Noether) —— [抽象代数](https://en.wikipedia.org/wiki/Abstract_algebra)奠基人,[诺特定理](https://en.wikipedia.org/wiki/Noether%27s_theorem)揭示对称性与守恒律的深刻联系。",数学|物理学,8.6,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Emmy_Noether_%283x4_cropped%29.jpg/500px-Emmy_Noether_%283x4_cropped%29.jpg,1882,1935,https://en.wikipedia.org/wiki/Emmy_Noether
Kurt Gödel,Person,"[库尔特·哥德尔](https://en.wikipedia.org/wiki/Kurt_G%C3%B6del) —— 提出[不完备定理](https://en.wikipedia.org/wiki/G%C3%B6del%27s_incompleteness_theorems),震撼了数学基础与逻辑。",数学,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/4/42/Kurt_g%C3%B6del.jpg,1906,1978,https://en.wikipedia.org/wiki/Kurt_Gödel
Blaise Pascal,Person,"[布莱兹·帕斯卡](https://en.wikipedia.org/wiki/Blaise_Pascal) —— 与费马共创[概率论](https://en.wikipedia.org/wiki/Probability_theory),发明早期计算器,著名数学家与思想家。",数学,8.4,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/9/98/Blaise_Pascal_Versailles.JPG/500px-Blaise_Pascal_Versailles.JPG,1623,1662,https://en.wikipedia.org/wiki/Blaise_Pascal
Hippocrates,Person,"[希波克拉底](https://en.wikipedia.org/wiki/Hippocrates) —— “医学之父”,将医学与迷信分离,《[希波克拉底誓言](https://en.wikipedia.org/wiki/Hippocratic_Oath)》流传至今。",医学,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/7/7c/Hippocrates.jpg,,,https://en.wikipedia.org/wiki/Hippocrates
Edward Jenner,Person,"[爱德华·詹纳](https://en.wikipedia.org/wiki/Edward_Jenner) —— 用牛痘开创[疫苗接种](https://en.wikipedia.org/wiki/Vaccination),“免疫学之父”。",医学,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/b/be/Edward_Jenner.jpg/500px-Edward_Jenner.jpg,1749,1823,https://en.wikipedia.org/wiki/Edward_Jenner
Robert Koch,Person,"[罗伯特·科赫](https://en.wikipedia.org/wiki/Robert_Koch) —— [细菌学](https://en.wikipedia.org/wiki/Bacteriology)奠基人,提出科赫法则,确认结核、霍乱病原。",医学,8.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/8/8d/RobertKoch_cropped.jpg/500px-RobertKoch_cropped.jpg,1843,1910,https://en.wikipedia.org/wiki/Robert_Koch
Alexander Fleming,Person,"[亚历山大·弗莱明](https://en.wikipedia.org/wiki/Alexander_Fleming) —— 发现[青霉素](https://en.wikipedia.org/wiki/Penicillin),开启[抗生素](https://en.wikipedia.org/wiki/Antibiotic)时代。",医学,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/f/f5/Alexander_Fleming_1945.jpg,1881,1955,https://en.wikipedia.org/wiki/Alexander_Fleming
Joseph Lister,Person,"[约瑟夫·李斯特](https://en.wikipedia.org/wiki/Joseph_Lister) —— 倡导[无菌手术](https://en.wikipedia.org/wiki/Antiseptic),大幅降低术后感染死亡率。",医学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Joseph_Lister_1902.jpg/500px-Joseph_Lister_1902.jpg,1827,1912,https://en.wikipedia.org/wiki/Joseph_Lister
Andreas Vesalius,Person,"[安德烈亚斯·维萨里](https://en.wikipedia.org/wiki/Andreas_Vesalius) —— 近代[人体解剖学](https://en.wikipedia.org/wiki/Anatomy)奠基人,著《人体的构造》。",医学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Man_dressed_in_Black_by_Calcar_%28Hermitage%29.jpg/500px-Man_dressed_in_Black_by_Calcar_%28Hermitage%29.jpg,1514,1564,https://en.wikipedia.org/wiki/Andreas_Vesalius
William Harvey,Person,[威廉·哈维](https://en.wikipedia.org/wiki/William_Harvey) —— 首次系统阐明[血液循环](https://en.wikipedia.org/wiki/Circulatory_system)由心脏驱动。,医学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/4/42/William_Harvey_2.jpg/500px-William_Harvey_2.jpg,1578,1657,https://en.wikipedia.org/wiki/William_Harvey
Jonas Salk,Person,"[乔纳斯·索尔克](https://en.wikipedia.org/wiki/Jonas_Salk) —— 研制出首支[脊髓灰质炎疫苗](https://en.wikipedia.org/wiki/Polio_vaccine),且未申请专利。",医学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/59/Jonas_Salk_candid.jpg/500px-Jonas_Salk_candid.jpg,1914,1995,https://en.wikipedia.org/wiki/Jonas_Salk
Florence Nightingale,Person,"[弗洛伦斯·南丁格尔](https://en.wikipedia.org/wiki/Florence_Nightingale) —— 现代护理学奠基人,也是[医学统计](https://en.wikipedia.org/wiki/Medical_statistics)与数据可视化先驱。",医学,8.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Florence_Nightingale_%28H_Hering_NPG_x82368%29.jpg/500px-Florence_Nightingale_%28H_Hering_NPG_x82368%29.jpg,1820,1910,https://en.wikipedia.org/wiki/Florence_Nightingale
Carl Linnaeus,Person,"[卡尔·林奈](https://en.wikipedia.org/wiki/Carl_Linnaeus) —— 创立[双名法](https://en.wikipedia.org/wiki/Binomial_nomenclature)生物分类系统,“分类学之父”。",生物学,8.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Carl_von_Linn%C3%A9%2C_1707-1778%2C_botanist%2C_professor_%28Alexander_Roslin%29_-_Nationalmuseum_-_15723_%28cropped%29.tif/lossy-page1-500px-Carl_von_Linn%C3%A9%2C_1707-1778%2C_botanist%2C_professor_%28Alexander_Roslin%29_-_Nationalmuseum_-_15723_%28cropped%29.tif.jpg,1707,1778,https://en.wikipedia.org/wiki/Carl_Linnaeus
Antonie van Leeuwenhoek,Person,"[安东尼·范·列文虎克](https://en.wikipedia.org/wiki/Antonie_van_Leeuwenhoek) —— 用自制显微镜首次观察到微生物,“[微生物学](https://en.wikipedia.org/wiki/Microbiology)之父”。",生物学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Anthonie_van_Leeuwenhoek_%281632-1723%29._Natuurkundige_te_Delft_Rijksmuseum_SK-A-957.jpeg/500px-Anthonie_van_Leeuwenhoek_%281632-1723%29._Natuurkundige_te_Delft_Rijksmuseum_SK-A-957.jpeg,1632,1723,https://en.wikipedia.org/wiki/Antonie_van_Leeuwenhoek
James Watson,Person,[詹姆斯·沃森](https://en.wikipedia.org/wiki/James_Watson) —— 与克里克共同提出 [DNA 双螺旋结构](https://en.wikipedia.org/wiki/Nucleic_acid_double_helix)。,生物学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/d8/James_D._Watson_LCCN2007680359.jpg/500px-James_D._Watson_LCCN2007680359.jpg,1928,,https://en.wikipedia.org/wiki/James_Watson
Francis Crick,Person,"[弗朗西斯·克里克](https://en.wikipedia.org/wiki/Francis_Crick) —— DNA 双螺旋的共同发现者,提出分子生物学“中心法则”。",生物学,8.6,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/9/99/Francis_Crick_crop.jpg/500px-Francis_Crick_crop.jpg,1916,2004,https://en.wikipedia.org/wiki/Francis_Crick
Rosalind Franklin,Person,[罗莎琳德·富兰克林](https://en.wikipedia.org/wiki/Rosalind_Franklin) —— 其 X 射线衍射“照片 51 号”是揭示 [DNA 结构](https://en.wikipedia.org/wiki/Nucleic_acid_double_helix) 的关键。,生物学|化学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/f/fd/Rosalind_Franklin_%28retouched%29.jpg,1920,1958,https://en.wikipedia.org/wiki/Rosalind_Franklin
John Dalton,Person,"[约翰·道尔顿](https://en.wikipedia.org/wiki/John_Dalton) —— 提出近代[原子论](https://en.wikipedia.org/wiki/Atomic_theory),为化学奠定微观基础。",化学,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/0/00/John_Dalton_by_Thomas_Phillips%2C_1835.jpg/500px-John_Dalton_by_Thomas_Phillips%2C_1835.jpg,1766,1844,https://en.wikipedia.org/wiki/John_Dalton
Robert Boyle,Person,"[罗伯特·玻意耳](https://en.wikipedia.org/wiki/Robert_Boyle) —— 近代化学先驱,提出[玻意耳定律](https://en.wikipedia.org/wiki/Boyle%27s_law)。",化学,8.4,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/a3/The_Shannon_Portrait_of_the_Hon_Robert_Boyle.jpg/500px-The_Shannon_Portrait_of_the_Hon_Robert_Boyle.jpg,1627,1691,https://en.wikipedia.org/wiki/Robert_Boyle
Linus Pauling,Person,"[莱纳斯·鲍林](https://en.wikipedia.org/wiki/Linus_Pauling) —— [化学键](https://en.wikipedia.org/wiki/Chemical_bond)理论奠基人,两获诺奖(化学奖与和平奖)。",化学,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/53/Linus_Pauling_in_the_1940s.jpg/500px-Linus_Pauling_in_the_1940s.jpg,1901,1994,https://en.wikipedia.org/wiki/Linus_Pauling
Edwin Hubble,Person,"[埃德温·哈勃](https://en.wikipedia.org/wiki/Edwin_Hubble) —— 发现星系退行,证实[宇宙膨胀](https://en.wikipedia.org/wiki/Expansion_of_the_universe)。",天文学,8.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/1/15/Studio_portrait_photograph_of_Edwin_Powell_Hubble_%28cropped%29.JPG/500px-Studio_portrait_photograph_of_Edwin_Powell_Hubble_%28cropped%29.JPG,1889,1953,https://en.wikipedia.org/wiki/Edwin_Hubble
Tycho Brahe,Person,"[第谷·布拉赫](https://en.wikipedia.org/wiki/Tycho_Brahe) —— 留下空前精确的[天文观测](https://en.wikipedia.org/wiki/Observational_astronomy)数据,成就了开普勒。",天文学,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/54/Portr%C3%A4tt_av_Tycho_Brahe_-_Skoklosters_slott_-_90153.tif/lossy-page1-500px-Portr%C3%A4tt_av_Tycho_Brahe_-_Skoklosters_slott_-_90153.tif.jpg,1546,1601,https://en.wikipedia.org/wiki/Tycho_Brahe
Classical mechanics,Project,"[经典力学](https://en.wikipedia.org/wiki/Classical_mechanics) —— 描述宏观物体运动的理论体系,由牛顿集大成。",,9.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Classical%0Amechanics,,,
Universal gravitation,Project,"[万有引力](https://en.wikipedia.org/wiki/Newton%27s_law_of_universal_gravitation) —— 任意两质点相互吸引,解释了天体运行与潮汐。",,9.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Universal%0Agravitation,,,
Calculus,Project,"[微积分](https://en.wikipedia.org/wiki/Calculus) —— 研究变化与累积的数学分支,牛顿与莱布尼茨各自独立创立。",,9.6,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Calculus,,,
Optics,Project,[光学](https://en.wikipedia.org/wiki/Optics) —— 研究光的性质与行为;牛顿用棱镜揭示白光由色光组成。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Optics,,,
